On The Road Again|Canned Heat
Livin' Above Your Head|Jay & The Americans
Simon Says|1910 Fruitgum Co.
Human Touch/Better Days|Bruce Springsteen
Josephine|Bill Black's Combo
Giving Up On Love|Jerry Butler
You Always Come Back (To Hurting Me)|Johnny Rodriguez
World (The Price Of Love)|New Order
Keep It Comin'|Keith Sweat
Wango Tango|Ted Nugent
Jigga What...|Jay-Z Featuring Big Jaz
Keep On Dancing|Hank Ballard And The Midnighters
I Ain't Gonna Eat Out My Heart Anymore|The Young Rascals
Come On Baby|Bruce Channel
Rain|Jose Feliciano
Say It Isn't So|Daryl Hall John Oates
Perfect Combination|Stacy Lattisaw & Johnny Gill
Such A Shame|Talk Talk
The Shadow Of Your Smile|Boots Randolph
One Step Closer To You|Gavin Christopher
Red Red Wine|Vic Dana
My Love|Little Texas
That's The Way A Woman Is|Messengers
Rocky|Austin Roberts
First Hymn From Grand Terrace|Mark Lindsay
Allies|Heart
Sun...Sun...Sun...Pt. I|Ja-Kki
Be Bop A-Lula|The Everly Brothers
You've Lost That Lovin' Feelin'|The Righteous Brothers
Running Back|Eddie Money
For You|Michael W. Smith
Sooner Or Later|The Grass Roots
The Gangs Back Again|Kool & The Gang
Definition|Mos Def & Kweli Are Black Star
It's Not Easy|The Will-O-Bees
If You Feel It|Denise Lopez
Reach Out  I'll Be There|Gloria Gaynor
Call Me Mr. In-Between|Burl Ives
Somewhere|P.J. Proby
Painted Ladies|Ian Thomas
1941|Tom Northcott
Every Love Song|Greg Kihn Band
Me And Bobby McGee|Janis Joplin
Wanna Dance|Yasmin
Black And Blue|Van Halen
That's The Way Love Is|Bobby Brown
Made Up My Mind|SaFire
Sweet Sixteen Bars|Earl Grant
The Girl Most Likely|Jeannie C. Riley
Shoppin' For Clothes|The Coasters
Just Once In A Lifetime|Brenda & The Tabulations
No Good To Cry|The Poppy Family
Heart's Desire|Billy Joe Royal
Think His Name|Johnny Rivers
Sin So Well|Rebekah
Angel|Madonna
Shake A Tail Feather|The Five Du-Tones
The Great Beyond|R.E.M.
How Does It Feel To Be Back|Daryl Hall John Oates
Baby You Know|The O'Jays
Save The Country|The 5th Dimension
Home To You|Earth Opera
Sweet Pea|Tommy Roe
I'm Over You|Jan Bradley
The Pledge Of Allegiance|Red Skelton
Lovey Dovey|Buddy Knox
Theme From Close Encounters Of The Third Kind|John Williams
Hold Back The Night|The Trammps
Look  Here Comes The Sun|The Sunshine Company
Broken Hearted|The Miracles
I Have A Dream|Donny Osmond
Blackberry Molasses|Mista
A String Of Trumpets|The Trumpeteers
The Different Story (World Of Lust And Crime)|Peter Schilling
Peace Train|Cat Stevens
Guerrilla Radio|Rage Against The Machine
I Ain't Havin' That|Heltah Skeltah Featuring Starang Wondah Of O.G.C. & Doc Holiday
The Need To Be|Jim Weatherly
Runaway Train|Soul Asylum
If You're Not Back In Love By Monday|Millie Jackson
Honky Tonk (Part 2)|Bill Doggett
Question|The Moody Blues
The Birth Of The Beat|Sandy Nelson
Girls Just Want To Have Fun|Cyndi Lauper
Pata Pata|Miriam Makeba
Gas Lamps And Clay|Blues Image
You Keep Running Away|Four Tops
Love Is All We Need|Vic Dana
Cast Your Fate To The Wind|Vince Guaraldi Trio
I'm The One Who Loves You|The Impressions
I Kinda Miss You|The Manhattans
When She Dances|Joey Scarbury
Reach For The Sky|Firehouse
Rock-A-Lott|Aretha Franklin
Get Up And Go|Go-Go's
Sometimes Always|The Jesus And Mary Chain
When The Rain Comes Down|Andy Taylor
We Trying To Stay Alive|Wyclef Jean Featuring Refugee Allstars
Goin' Home|The Osmonds
Secretary|Betty Wright
Please Mr. Postman|Carpenters
A City Girl Stole My Country Boy|Patti Page
Soon I'll Wed My Love|John Gary
Burning Flame|Vitamin Z
Carolyn|Merle Haggard And The Strangers
Before I Go|Starship
You Were Always There|Donna Fargo
Superstitious|Europe
You Got To Me|Neil Diamond
Desdemona|The Searchers
Pets|Porno For Pyros
Forever|KISS
Peanuts (La Cacahuata)|The Sunglows
(Night Time Is) The Right Time|Ray Charles with the Raylettes
Mama Sang A Song|Bill Anderson
We Love You  Call Collect|Art Linkletter
Harvest For The World|The Isley Brothers
The Gap|Thompson Twins
We're Gonna Have A Good Time|Rare Earth
Ring Of Fire|Duane Eddy
The Anaheim  Azusa & Cucamonga Sewing Circle  Book Review And Timing Associ|Jan & Dean
Living For You|Sonny & Cher
Most Of All|Jody Watley
I Looked At Heaven|Tommy Edwards
Come On And See Me|Tammi Terrell
Peace Brother Peace|Bill Medley
Carry Me  Carrie|Dr. Hook And The Medicine Show
Good Lover|Jimmy Reed
Not For All The Money In The World|The Shirelles
Angel On My Shoulder|Shelby Flint
Where Did Our Love Go|Donnie Elbert
(You Make Me Feel) So Good|The McCoys
Mr. D.J. (5 For The D.J.)|Aretha Franklin
Christine Sixteen|KISS
The Memory Remains|Metallica
You Can't Hurry Love|Phil Collins
Check It Out|John Mellencamp
My Hero|The Blue Notes
The Very Thought Of You|Little Willie John
Western Union|The Five Americans
Stay In Time|Off Broadway USA
Sugar Don't Bite|Sam Harris
Daddy Cool|Boney M.
L-O-V-E (Love)|Al Green
(Sittin' On) The Dock Of The Bay|Sammy Hagar
Does It Make You Remember|Kim Carnes
Girl (You Captivate Me)|? (Question Mark) & The Mysterians
Happier Than The Morning Sun|B.J. Thomas
Rocka-Conga|The Applejacks
Heaven Knows|Luther Vandross
So High (rock Me Baby And Roll Me Away)|Dave Mason
Carrie's Gone|LeRoux
Capture Your Heart|Blue
Come Into My Life|Jimmy Cliff
Nashville Cats|The Lovin' Spoonful
That's Not How It Goes|Bloodstone
I'm On Fire|5000 Volts
It's Gonna Be Fine|Glenn Yarbrough
Man Behind The Music|Queen Pen Featuring Teddy Riley
Friend Of Mine|Bill Withers
Movin'|Brass Construction
A Passion Play (Edit #8)|Jethro Tull
I've Been There|Tommy Edwards
This Is The World Calling|Bob Geldof
We Have Love|Dinah Washington
Laura  What's He Got That I Ain't Got|Frankie Laine
Early Morning Love|Sammy Johns
Don't Go To Strangers|Etta Jones
Two Sides Of Love|Sammy Hagar
Sylvia|Focus
In The Navy|Village People
Cross My Heart|Lee Ritenour
Don't Let The Green Grass Fool You|Wilson Pickett
All Shook Up|Suzi Quatro
Wild Thing|The Troggs
I'm A Believer|Giant
Mary's Boy Child / Oh My Lord|Boney M.
I Think We're Alone Now|Tiffany
Live Every Moment|REO Speedwagon
She Wants T' Swim|Chubby Checker
In The Still Of The Nite|The Five Satins
Happy|The Blades Of Grass
There Will Never Be Another You|Chris Montez
Greensleeves|Mason Williams
Here I Go Again|Smokey Robinson & The Miracles
I'll Never Be Free|Kay Starr
Sweet Sticky Thing|Ohio Players
I Would Be In Love (Anyway)|Frank Sinatra
Lara's Theme from Dr. Zhivago|Roger Williams
Hey! Little Girl|Del Shannon
Peter Gunn|Ray Anthony and His Orchestra
I'm Your Angel|R. Kelly & Celine Dion
Walk Easy My Son|Jerry Butler
Bewildered|James Brown And The Famous Flames
Hide 'Nor Hair|Ray Charles and his Orchestra
The Love Of A Boy|Timi Yuro
Piece By Piece|The Tubes
Ain't Wastin' Time No More|The Allman Brothers Band
Loving Arms|Kris Kristofferson & Rita Coolidge
Dum-De-Da|Bobby Vinton
Don't Make Me Pay For His Mistakes|Z.Z. Hill
Dancin' Kid|Disco Tex & The Sex-O-Lettes Featuring Sir Monti Rock III
Send Me An Angel|Real Life
Take It To The Streets|Rampage Featuring Billy Lawrence
Mighty Mighty|Earth  Wind & Fire
Backyard Boogie|Mack 10
Get The Message|Brian Hyland
Whispers|Corina
Dancing In The Shadows|After The Fire
Flesh For Fantasy|Billy Idol
Remember What You Like|Jenny Burton
Why Don't You Believe Me|The Duprees featuring Joey Vann
Love Bones|Johnnie Taylor
Without Your Love|Toto
Walk Away From Love|David Ruffin
Let's Go Again (Where We Went Last Night)|Hank Ballard And The Midnighters
B Girls|Young And Restless
Never There|Cake
It's A Long Way There|Little River Band
I Can't Be You (You Can't Be Me)|The Glass House
Tighten Up|Archie Bell & The Drells
Midnight|Johnny Gibson
Spoonful|Etta & Harvey
Can't You See Me Cry|The New Colony Six
Needles And Pins|Jackie DeShannon
This Land Is Your Land|Ketty Lester
Hither And Thither And Yon|Brook Benton
The Weight|The Band
I've Got The Next Dance|Deniece Williams
Gotta Be The One|Maxine Nightingale
Nobody I Know|Peter And Gordon
A Little Lovin' (Keeps The Doctor Away)|The Raes
The Most Beautiful Girl|Charlie Rich
Little Bitty Pretty One|Jackson 5
Teddy Bear|G-Wiz
The House That Jack Built|Aretha Franklin
Lost Soul|Bruce Hornsby & The Range With Shawn Colvin
Damn It All|Gene Cotton
I Will Always Love You|Dolly Parton
One  Two  Three|Ramsey Lewis
Loving You With My Eyes|Starland Vocal Band
Old Fashioned Boy (You're The One)|Stallion
The Taker|Waylon Jennings
Once In A Lifetime|Talking Heads
Make Me Belong To You|Barbara Lewis
I Promise To Wait My Love|Martha Reeves & The Vandellas
Just A Smile|Pilot
Just Dropped In (To See What Condition My Condition Was In)|The First Edition
It's-A-Happening|The Magic Mushrooms
I Can't Make It Anymore|Spyder Turner
Jackson|Nancy Sinatra & Lee Hazlewood
The Hunch|Bobby Peterson Quintet
Miss You In A Heartbeat|Def Leppard
Only When You're Lonely|The Grass Roots
Share The Land|The Guess Who
The Five Pennies|Dodie Stevens
I Can't Do Enough|The Dells
It Must Be Love|Robin S.
Nice Girls|Melissa Manchester
(The Best Part Of) Breakin' Up|The Ronettes
The Devil Came Up To Michigan|K.M.C. KRU
Not About Romance|Inner Circle
Limbo Dance|The Champs
Wild Thing|Tone-Loc
A Thousand Miles Away|The Heartbeats
Somebody Loves You|The Whispers
Loving Her Was Easier (Than Anything I'll Ever Do Again)|Kris Kristofferson
For Me And My Gal|Freddy Cannon
Smokin' Room|Carl Carlton
Cuts Both Ways|Gloria Estefan
I Call My Baby Candy|The Jaggerz
99 1/2|Carol Lynn Townes
I Like It (I Wanna Be Where You Are)|Grand Puba
Don't Be Afraid  Little Darlin'|Steve Lawrence
Walk-Don't Run '64|The Ventures
Could I Be Dreaming|The Pointer Sisters
Small Town|John Mellencamp
Not Fade Away|Tanya Tucker
Girls Will Be Girls  Boys Will Be Boys|The Isley Brothers
Does Anybody Really Know What Time It Is?|Chicago
Island Of Lost Souls|Blondie
Your Unchanging Love|Marvin Gaye
Peak Of Love|Bobby McClure
(Theme From) Any Number Can Win|Jimmy Smith
We've Got It Goin' On|Backstreet Boys
Dreamin' Of Love|Stevie B
Drum Stomp|Sandy Nelson
You Only Live Twice|Nancy Sinatra
Wake Up  Wake Up|The Grass Roots
Release Yo' Delf|Method Man
Hurry Sundown|Outlaws
Multiplication|Bobby Darin
Dinah Flo|Boz Scaggs
Somebody's Watching Me|Rockwell
Our Song|Jack Jones
What Do You Want?|Bobby Vee
We're Friends By Day (And Lovers By Night)|Whatnauts
The Brightest Smile In Town|Ray Charles and his Orchestra
Catfish|Four Tops
High Heel Sneakers|Jerry Lee Lewis
The Deeper The Love|Whitesnake
There Was A Time|James Brown And The Famous Flames
Judy|David Seville
Powerful Thing|Trisha Yearwood
Girl On A Swing|Gerry And The Pacemakers
People|Nat King Cole
If You Ever Leave Me|Jack Jones
Don't Ever Take Away My Freedom|Peter Yarrow
(We Ain't Got) Nothin' Yet|Blues Magoos
I'm Learning About Love|Brenda Lee
Ride With Me|Steppenwolf
For The Love Of Ivy|The Mamas & The Papas
I Hope We Get To Love In Time|Marilyn McCoo & Billy Davis  Jr.
Come On Up|The Young Rascals
I Love You In The Same Old Way|Paul Anka
Stumblin' In|Suzi Quatro & Chris Norman
Born To Be Wild|Wilson Pickett
Theme From The Dukes Of Hazzard (Good Ol' Boys)|Waylon
Early In The Morning|Vanity Fare
(It's The Way) Nature Planned It|Four Tops
Give Your Baby A Standing Ovation|The Dells
My Own Worst Enemy|Lit
All That I Can Say|Mary J. Blige
Sweet Cream Ladies  Forward March|The Box Tops
Up And Down|The McCoys
Everybody's Free (To Wear Sunscreen)|Baz Luhrmann
Say You'll Stay Until Tomorrow|Tom Jones
It's Like We Never Said Goodbye|Crystal Gayle
I'm Here To Get My Baby Out Of Jail|The Everly Brothers
Who Loves You Better - Part 1|The Isley Brothers
No Mistakes|Patty Smyth
Give Everybody Some|The Bar-Kays
Young Boy|Barbara Greene
Human Wheels|John Mellencamp
Forever|Kenny Loggins
Hurry Up And Wait|The Isley Brothers
Midnight Lace|Ray Ellis
One Piece Topless Bathing Suit|The Rip Chords
No Faith  No Love|Mitty Collier
True Grit|Glen Campbell
Roll With It|Steve Winwood
Changes|Loggins & Messina
A Wonderful Dream|The Majors
Blind Man|Aerosmith
Right On The Tip Of My Tongue|Brenda & The Tabulations
Ram-Bunk-Shush|The Ventures
I Got The Feelin' (It's Over)|Gregory Abbott
Tracy's Theme|Spencer Ross
L-L-Lies|Diana King
Always Tomorrow|Gloria Estefan
Down For Yours|Nastyboy Klick Featuring Roger Troutman
Blue Collar|Bachman-Turner Overdrive
That's What I Like|Jive Bunny & The Mastermixers
When Love Slips Away|Dee Dee Warwick
Kansas City (Hey-Hey-Hey-Hey)|Little Richard
Stone Cold Sober|Crawler
Sunshine|Jay-Z Featuring Babyface And Foxy Brown
Bristol Twistin' Annie|The Dovells
Amor|Roger Williams
Love Child|Diana Ross & The Supremes
Danger Zone|Kenny Loggins
To Each His Own|Frankie Laine
Making A Good Thing Better|Olivia Newton-John
The Air That I Breathe|The Hollies
Make My Day|T.G. Sheppard With Clint Eastwood
Inside That I Cried|CeCe Peniston
Small Beginnings|Flash
Marianna|Johnny Mathis
Breakin' In A Brand New Broken Heart|Connie Francis
Let's Get Crazy Tonight|Rupert Holmes
Rockin' In The Jungle|The Eternals
A Trick Of The Night|Bananarama
Louisiana Man|Pozo Seco Singers
Shadows|5 Satins
Who's That Girl|Madonna
Can't Get You Off My Mind|Lenny Kravitz
Let's Ride|Richie Rich
Whose Heart Are You Breaking Tonight|Connie Francis
The Watusi|The Vibrations
Love Is All You Need|High Inergy
Like An Old Time Movie|Scott McKenzie
Let Me Down Easy|American Flyer
Please Be The One|Karla Bonoff
There's Nothing Better Than Love|Luther Vandross with Gregory Hines
I'll Always Love My Mama (Part I)|The Intruders
The Dolphin's Cry|Live
Mary Ann Regrets|Burl Ives
Martika's Kitchen|Martika
Shelter|Lone Justice
Legal Tender|The B-52s
The Cruel War|Peter  Paul & Mary
Lean On Me|Bill Withers
Some Beautiful|Jack Wild
I Miss You (Part I)|Harold Melvin And The Blue Notes
The Purple People Eater|Sheb Wooley
Rock 'N Roll (I Gave You The Best Years of My Life)|Kevin Johnson
Hold Tight|Vicki Sue Robinson
All Night Long|Billy Squier
Incense And Peppermints|Strawberry Alarm Clock
Bei Mir Bist Du Schön|Louis Prima And Keely Smith
Tenth Avenue Freeze-out|Bruce Springsteen
Gentle|Dino
I'd Rather Go Blind|Sydney Youngblood
Crossroads|Cream
Luka|Suzanne Vega
Senza Mamma (With No One)|Connie Francis
Struttin' My Stuff|Elvin Bishop
Houdini|Walter Brennan
The Border|America
Groovin' (Out On Life)|The Newbeats
It's Only Love|Simply Red
Kiss and Tell|Isley  Jasper  Isley
Fly Away|Peter Allen
High Hopes|Frank Sinatra and a bunch of kids
Shy Girl|The Cascades
Peace Of Mind|Paul Revere & The Raiders Featuring Mark Lindsay
Baby  We've Got Love|Johnnie Taylor
I Will Be In Love With You|Livingston Taylor
My Name Is|Eminem
Long And Lonesome Road|The Shocking Blue
Send A Little Love My Way|Anne Murray
Don't Let Me Be Misunderstood|The Animals
Just Take My Heart|Mr. Big
Porpoise Song|The Monkees
Satisfy You|Puff Daddy Featuring R. Kelly
The Real Love|Bob Seger & The Silver Bullet Band
I Can't Help It|Bananarama
Doctor Love|First Choice
Burning Bridges|Jack Scott
Don't Ask Me Why|Billy Joel
The World Outside|Roger Williams
Guitar Man|Elvis Presley
Lipstick|Suzi Quatro
It's A Heartache|Juice Newton
Wishing On The Same Star|Keedy
How Can You Love Me|Ambrosia
(Native Girl) Elephant Walk|Donald Jenkins & The Delighters
Love Me Just For Me|Special Generation
Watch Out Now|The Beatnuts Featuring Yellaklaw
That's Where The Happy People Go|The Trammps
No More Mr. Nice Guy|Alice Cooper
I Can't Stay Away From You|The Impressions
Put A Little Love Away|The Emotions
Leroy|Jack Scott
Such A Woman|Tycoon
Coming Around Again|Carly Simon
Somebody Have Mercy|Sam Cooke
People Like You|Eddie Fisher
Is This The End|New Edition
New Year's Day|U2
Ronnie|The 4 Seasons Featuring the Sound of Frankie Valli
You Light Up My Life|Kacey Cisyk/Original Cast
50 Ways To Leave Your Lover|Paul Simon
(you're So Square) Baby  I Don't Care|Joni Mitchell
Uptown & Country|Tom Scott
My Forbidden Lover|Chic
Loddy Lo|Chubby Checker
If Not For You|Olivia Newton-John
You Don't Have To Say You Love Me|The Four Sonics
Keep On Loving Me (You'll See The Change)|Bobby Bland
Lookin' For Love|Johnny Lee
Say Hello To Ronnie|Janey Street
All The Love I've Got|Marv Johnson
Swept Away|Diana Ross
Turn Around And Love You|Rita Coolidge
Jennifer Juniper|Donovan
Right Relations|Johnny Rivers
Soul Twist|King Curtis And The Noble Knights
Ridin' The Wind|The Tornadoes
Faithful|Go West
Come Rain Or Come Shine|Ray Charles
Knock Knock Who's There|Mary Hopkin
You're No Good|The Swinging Blue Jeans
The Breakdown (Part I)|Rufus Thomas
My Foolish Heart|The Demensions
I'll Still Love You More|Trisha Yearwood
You've Got Me Runnin'|Gene Cotton
Had A Dream (Sleeping With The Enemy)|Roger Hodgson
Sidewalk Talk|Jellybean Featuring Catherine Buchanan
Society's Child (Baby I've Been Thinking)|Janis Ian
Isn't It Time|The Babys
Don't Let The Joneses Get You Down|The Temptations
What Goes Up (Must Come Down)|Tyrone Davis
Bring It On Home|Lou Rawls
Touch Me Baby (reaching Out For Your Love)|Tamiko Jones
Break It Up|Foreigner
Mama (He Treats Your Daughter Mean)|Ruth Brown
Boss|The Rumblers
You're The Reason|Bobby Edwards
Dream On Dreamer|The Brand New Heavies
Hello  Hello  Hello|New England
Harmless|Mulberry Lane
Mohair Sam|Charlie Rich
Meeting In My Bedroom|Silk
Banjo Boy|Jan And Kjeld
Oh My Angel|Bertha Tillman
Willie & The Hand Jive|George Thorogood & The Destroyers
This Town|Frank Sinatra
Let's Try Again|Clyde McPhatter
Memories Are Made Of This|The Drifters
All Strung Out On You|John Travolta
Headed For A Heartbreak|Winger
Luanne|Foreigner
Where Will The Words Come From|Gary Lewis And The Playboys
The Secret Garden|Quincy Jones
Funny|Gene McDaniels
Trains And Boats And Planes|Billy J. Kramer With The Dakotas
This Could Be The Right One|April Wine
Misunderstanding|Genesis
Faded Love|Jackie DeShannon
And She's Mine|Spanky And Our Gang
Please Tell Him That I Said Hello|Debbie Campbell
She'll Never Know|Brenda Lee
It Won't Be This Way (Always)|The King Pins
Dancin' In My Sleep|Secret Ties
Colorado|Danny Holien
L.a. Freeway|Jerry Jeff Walker
Hail To The Conquering Hero|James Darren
